https://golf.com/gear/|文章抓取失败: page.waitForSelector: Timeout 15000ms exceeded.
https://mygolfspy.com/news-opinion/golf-news/2025-3m-open-prize-money/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T01:55:50.569Z
https://mygolfspy.com/news-opinion/insights-and-opinion/cobra-2025-drivers-fairway-woods/|文章抓取失败: page.goto: net::ERR_CONNECTION_RESET at https://mygolfspy.com/
https://mygolfspy.com/news-opinion/instruction/understanding-the-rules-a-beginners-guide-to-golfs-core-principles/|文章抓取失败: page.evaluate: Target page, context or browser has been closed|2025-07-21T02:29:14.213Z
https://mygolfspy.com/news-opinion/jordan-spieth-wrist-surgery-timeline/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T01:55:58.982Z
https://mygolfspy.com/news-opinion/ping-g440-max-driver-first-look/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:16:45.880Z
https://mygolfspy.com/news-opinion/scottie-scheffler-witb-open-championship-2025/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:16:26.352Z
https://mygolfspy.com/news-opinion/taylormade-pens-5-year-deal-with-nick-dunlap/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-18T08:50:44.830Z
https://mygolfspy.com/news-opinion/taylormade-stealth-2-plus-driver-review/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:17:44.642Z
https://mygolfspy.com/news-opinion/titleist-tsr-drivers-comparison/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:17:15.926Z
https://www.golfdigest.com/story/affordable-summer-destinations-golf-trips|Claude改写失败: 改写超时（453.9158203125秒）|2025-07-25T08:20:57.863Z
https://www.golfdigest.com/story/back-to-back-holes-in-one-on-par-4s---this-father-and-son-just-a|Claude改写失败: urlsWithNumbers is not defined|2025-07-24T09:32:18.191Z
https://www.golfdigest.com/story/british-open-2025-scottie-scheffler-claret-jug-notice|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T07:35:30.997Z
https://www.golfdigest.com/story/british-open-2025-scottie-scheffler-tiger-woods-comparisons|文章抓取失败: urlsWithNumbers is not defined|2025-07-24T07:32:54.391Z
https://www.golfdigest.com/story/cabot-highlands-old-petty-unforgettable-first-look-tom-doak-designed-golf-course|文章抓取失败: page.goto: Timeout 45000ms exceeded.
https://www.golfdigest.com/story/collin-morikawa-happy-gilmore-2-bull-dance-adam-sandler-us-bank-nervous-netflix|Claude改写失败: urlsWithNumbers is not defined|2025-07-24T09:29:54.316Z
https://www.golfdigest.com/story/how-this-new-pga-tour-winner-was-so-close-to-delivering-most-boss-move-in-golf-history|文章抓取失败: urlsWithNumbers is not defined|2025-07-24T09:27:25.872Z
https://www.golfdigest.com/story/jon-rahm-tyrrell-hatton-liv-golf-uk-wine-beer-golf-drinking|Claude改写失败: urlsWithNumbers is not defined|2025-07-24T09:33:35.665Z
https://www.golfdigest.com/story/royal-portrush-video-every-hole-at|文章抓取失败: page.goto: Timeout 45000ms exceeded.
https://www.golfdigest.com/story/rules-of-golf-review-using-powder-dry-grips-legal-penalty-or-not|Claude改写失败: 改写超时（367.50703125秒）|2025-07-25T19:06:43.357Z
https://www.golfdigest.com/story/this-masters-week-tradition-is-coming-to-an-end-hint-john-daly-must-be-sad|文章抓取失败: page.goto: Timeout 45000ms exceeded.
https://www.golfdigest.com/story/xander-schauffele-break-through-first-two-majors-get-more-game-cover-story|Claude改写失败: urlsWithNumbers is not defined|2025-07-24T09:36:39.281Z
https://www.golfmonthly.com/features/best-evnroll-putters-2025|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T01:55:33.315Z
https://www.golfmonthly.com/features/best-new-balance-golf-shoes-2025|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T01:55:43.779Z
https://www.golfmonthly.com/features/the-relative-safety-of-3-wood-off-the-tee-is-a-myth-and-the-data-proves-it|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:30:38.582Z
https://www.golfmonthly.com/news/5-modern-links-courses-that-could-be-great-open-venues|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:29:13.212Z
https://www.golfmonthly.com/news/best-evnroll-putters-2025|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:16:14.100Z
https://www.golfmonthly.com/news/best-golf-pride-grips-2025|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:16:03.907Z
https://www.golfmonthly.com/news/final-liv-golf-leaderboard-open|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:16:18.936Z
https://www.golfmonthly.com/news/from-lack-of-sleep-to-the-surprise-of-2019-what-open-golf-courses-are-to-shane-lowry|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:29:18.027Z
https://www.golfmonthly.com/news/hes-a-flusher-with-a-good-track-record-on-links-courses-shane-lowrys-caddie-on-why-hes-backing-the-irishman-this-week|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:29:25.091Z
https://www.golfmonthly.com/news/how-to-watch-the-open-championship-2025-potentially-for-free|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:29:31.784Z
https://www.golfmonthly.com/news/how-to-watch-the-open-final-round-live-streams-tv-details-timings-as-scottie-scheffler-aims-to-emulate-tiger-woods|实时赛事报道内容过长，已跳过|2025-07-20T02:36:27.734Z
https://www.golfmonthly.com/news/ill-never-forget-the-experience-of-people-cheering-me-on-golf-influencer-grace-charis-talks-playing-with-john-daly|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:29:38.608Z
https://www.golfmonthly.com/news/live/genesis-scottish-open-2025-leaderboard-live-updates|实时赛事报道内容过长，已跳过|2025-07-16T05:34:57.044Z
https://www.golfmonthly.com/news/live/liv-golf-uk-2025-leaderboard-live-updates|实时赛事报道内容过长，已跳过|2025-07-29T07:16:59.605Z
https://www.golfmonthly.com/news/live/the-open-2025-leaderboard-final-round-royal-portrush|实时赛事报道内容过长，已跳过|2025-07-22T08:25:54.003Z
https://www.golfmonthly.com/news/live/the-open-championship-2025-leaderboard-scores|实时赛事报道内容过长，已跳过|2025-07-22T07:18:57.912Z
https://www.golfmonthly.com/news/meet-the-9-amateurs-vying-for-the-silver-medal-at-royal-portrush|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:29:43.880Z
https://www.golfmonthly.com/news/open-weather-forecast-2025|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:29:48.651Z
https://www.golfmonthly.com/news/scottie-scheffler-wins-open-championship-dominant-fashion|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:15:56.999Z
https://www.golfmonthly.com/news/shane-lowry-receives-two-stroke-penalty-at-the-open|实时赛事报道内容过长，已跳过|2025-07-19T14:06:59.301Z
https://www.golfmonthly.com/news/the-historic-links-that-could-one-day-be-the-republic-of-irelands-first-open-venue|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:29:54.733Z
https://www.golfmonthly.com/tips/how-is-a-remote-electric-golf-trolley-actually-made-i-headed-behind-the-scenes-to-find-out|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:30:01.583Z
https://www.golfmonthly.com/tips/how-many-1-putts-does-the-average-pga-tour-player-make-per-round|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:30:10.325Z
https://www.golfmonthly.com/tips/ill-teach-you-the-greenside-bunker-shot-used-by-most-of-the-worlds-best-golfers|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T07:17:21.282Z
https://www.golfmonthly.com/tips/my-short-game-was-utterly-horrific-until-i-discovered-this-1-simple-technique|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:30:19.936Z
https://www.golfmonthly.com/tips/stop-digging-and-start-gliding-my-chip-shot-makeover-that-improved-my-consistency|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:30:25.507Z
https://www.golfmonthly.com/tips/tiger-does-this-all-the-time-5-tour-pro-tips-to-help-you-hit-more-fairways|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-29T08:30:32.567Z
https://www.golfwrx.com/759798/2025-best-utility-irons/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T01:56:10.511Z
https://www.golfwrx.com/759875/witb-scottie-scheffler-2025-the-open-championship/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T01:56:04.559Z
https://www.golfwrx.com/763470/korean-gadget-report-how-adaks-diamonds-are-redefining-your-wedge-game/|实时赛事报道内容过长，已跳过|2025-07-22T07:39:54.066Z
https://www.golfwrx.com/763567/scottie-scheffler-winning-witb-open-championship-2025-july/|实时赛事报道内容过长，已跳过|2025-07-22T07:39:23.638Z
https://www.golfwrx.com/763592/kevin-kisner-suggests-usga-also-at-fault-for-wyndham-clarks-oakmont-locker-room-saga/|实时赛事报道内容过长，已跳过|2025-07-22T08:12:18.902Z
https://www.golfwrx.com/763596/phil-mickelson-snaps-back-at-kevin-kisner-after-being-trolled-over-scottie-scheffler-prediction/|实时赛事报道内容过长，已跳过|2025-07-22T08:13:06.986Z
https://www.golfwrx.com/763601/golf-channel-analyst-makes-huge-scottie-scheffler-tiger-woods-comparison/|实时赛事报道内容过长，已跳过|2025-07-22T08:12:41.850Z
https://www.golfwrx.com/763631/what-is-i-forged-a-deep-dive-into-srixons-impressive-new-iron-technology/?utm_source=Front&utm_medium=Featured_Latest&utm_campaign=GolfWRX_OnSite&utm_content=unused|文章抓取失败: urlsWithNumbers is not defined|2025-07-24T07:26:25.754Z
https://www.golfwrx.com/763752/tiger-woods-makes-equipment-change-ahead-of-2025/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:24:11.237Z
https://www.golfwrx.com/763758/titleist-tsr4-driver-review-golfwrxers/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:24:23.763Z
https://www.golfwrx.com/763765/pga-tour-winner-witb-july-2025/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:24:29.488Z
https://www.golfwrx.com/763772/best-golf-grips-2025-tested/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:24:39.124Z
https://www.golfwrx.com/763780/jordan-spieth-putter-change-analysis/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:24:48.016Z
https://www.golfwrx.com/763795/open-championship-equipment-trends-2025/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:24:53.986Z
https://www.golfwrx.com/763802/callaway-apex-ti-fusion-irons-first-look/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:25:01.849Z
https://www.golfwrx.com/763810/dustin-johnson-liv-golf-witb-changes/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:25:08.054Z
https://www.golfwrx.com/763818/ping-g440-woods-launch-monitor-data/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:25:15.635Z
https://www.golfwrx.com/763825/best-wedges-2025-robot-testing/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T07:25:21.161Z
https://www.golfwrx.com/999999/this-is-a-new-article-that-doesnt-exist-yet/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:59:02.780Z
